organization_id,organization_name,alias,organization_type,registration_number,address,city,state,country,industry,status,source_id,confidence_score,created_at,updated_at
O0031,Tiwari Transport,,Logistics Company,REG189279,"08/799, Kanda Ganj",Indore,Madhya Pradesh,India,Finance,Under Review,SRC002,0.84,2024-07-20 00:46:16,2025-08-07 20:26:30
O0032,Shah Transport,Org-0032,Trading Firm,REG353046,"891, Sami",Pune,Maharashtra,India,Manufacturing,Active,SRC028,0.94,2026-03-10 17:48:03,2026-03-13 23:48:03
O0033,Tiwari Trading,,Hospitality Business,REG676427,"28/96, Dani Circle",Jabalpur,Madhya Pradesh,India,Logistics,Inactive,SRC029,0.97,2025-06-14 20:52:10,2025-07-07 02:52:10
O0034,Verma Transport,,Trading Firm,REG483752,"H.No. 86, Kothari Street",Ujjain,Madhya Pradesh,India,Construction,Active,SRC015,0.85,2026-05-09 06:19:52,2026-06-02 10:19:52
O0035,Joshi Services,,Construction Company,REG766776,"H.No. 88, Sunder Chowk",Mumbai,Maharashtra,India,Manufacturing,Inactive,SRC006,0.9,2025-10-03 04:46:05,2026-03-09 01:04:03
O0036,Mehta Enterprises,,Retail Business,REG737694,"07/68, Behl Chowk",Delhi,Delhi,India,Hospitality,Under Review,SRC020,0.87,2024-06-22 13:45:17,2024-10-03 01:08:01
O0037,Agarwal Enterprises,,Retail Business,REG695953,"H.No. 23, Wagle Path",Hyderabad,Telangana,India,Technology,Under Review,SRC019,0.87,2025-12-03 19:36:42,2025-12-26 06:36:42
O0038,Sharma Enterprises,,Transport Company,REG821765,"H.No. 84, Grewal Nagar",Vadodara,Gujarat,India,Hospitality,Active,SRC019,0.93,2025-10-29 20:36:19,2025-11-16 18:36:19
O0039,Yadav Logistics,,Retail Business,REG980637,"07/54, Dua Street",Ujjain,Madhya Pradesh,India,Transport,Active,SRC018,0.84,2026-06-20 12:16:33,2026-07-07 00:16:33
O0040,Khan Solutions,,Retail Business,REG250378,"H.No. 476, Johal Circle",Vadodara,Gujarat,India,Logistics,Inactive,SRC029,0.93,2026-03-13 13:38:31,2026-03-18 07:38:31
O0041,Bansal Trading,,Trading Firm,REG513513,"H.No. 96, Upadhyay Path",Lucknow,Uttar Pradesh,India,Technology,Active,SRC028,0.81,2024-12-31 01:23:43,2025-10-20 20:32:47
O0042,Mehta Enterprises,,Retail Business,REG615297,"H.No. 03, Yohannan Road",Dewas,Madhya Pradesh,India,Transport,Under Review,SRC010,0.86,2026-04-07 08:20:08,2026-05-13 13:58:06
O0043,Gupta Logistics,,Construction Company,REG596589,"H.No. 36, Guha Chowk",Bhopal,Madhya Pradesh,India,Hospitality,Under Review,SRC029,0.85,2025-09-26 07:35:29,2025-10-05 14:35:29
O0044,Sharma Transport,,NGO,REG248369,"345, Bhardwaj Chowk",Mumbai,Maharashtra,India,Transport,Active,SRC007,0.96,2025-05-08 02:43:37,2025-05-17 21:43:37
O0045,Jain Trading,,Trading Firm,REG923943,"H.No. 96, Chadha Marg",Vadodara,Gujarat,India,Finance,Under Review,SRC010,0.97,2026-07-15 14:38:27,2026-07-18 17:38:27
O0046,Sharma Solutions,,Manufacturing Firm,REG310003,"58, Bhargava Road",Ahmedabad,Gujarat,India,Hospitality,Active,SRC010,0.92,2025-05-25 10:52:40,2025-08-13 05:19:16
O0047,Shah Enterprises,Org-0047,Trading Firm,REG962706,"10, Bassi Chowk",Indore,Madhya Pradesh,India,Logistics,Inactive,SRC023,0.96,2025-01-08 18:36:02,2025-02-06 09:36:02
O0048,Saxena Services,,Manufacturing Firm,REG695783,"235, Sahni",Dewas,Madhya Pradesh,India,Logistics,Under Review,SRC001,0.85,2024-01-12 04:37:52,2026-06-15 19:16:56
O0049,Deshmukh Enterprises,Org-0049,Transport Company,REG261337,"H.No. 22, Pathak",Gurugram,Haryana,India,Technology,Inactive,SRC014,0.8,2024-01-23 06:30:21,2025-10-15 13:32:54
O0050,Deshmukh Logistics,,Trading Firm,REG313853,"604, Varkey Circle",Kanpur,Uttar Pradesh,India,Transport,Under Review,SRC024,0.99,2026-02-28 20:39:21,2026-03-12 01:39:21
O0051,Bansal Solutions,,Trading Firm,REG311947,"18/174, Sarraf Path",Nagpur,Maharashtra,India,Construction,Under Review,SRC025,0.93,2025-12-28 18:31:35,2026-01-12 05:31:35
O0052,Khan Services,,Hospitality Business,REG191419,"36, Arora",Kota,Rajasthan,India,Finance,Inactive,SRC008,0.86,2025-09-10 04:03:47,2026-06-05 17:09:21
O0053,Patel Industries,,Logistics Company,REG910834,"036, Banerjee Path",Jabalpur,Madhya Pradesh,India,Finance,Under Review,SRC003,0.97,2025-03-28 14:17:57,2025-04-10 13:17:57
O0054,Bansal Logistics,,Logistics Company,REG196748,"H.No. 33, Ahuja Road",Mumbai,Maharashtra,India,Transport,Under Review,SRC028,0.86,2025-07-05 07:54:50,2025-10-25 15:31:26
O0055,Khan Transport,,Manufacturing Firm,REG153204,"H.No. 55, Choudhary Nagar",Bhopal,Madhya Pradesh,India,Retail,Under Review,SRC013,0.93,2025-11-07 04:26:14,2025-11-26 10:26:14
O0056,Saxena Trading,,Manufacturing Firm,REG212923,"343, Singhal Zila",Ahmedabad,Gujarat,India,Logistics,Under Review,SRC005,0.81,2025-12-06 13:54:18,2026-08-06 18:57:40
O0057,Gupta Enterprises,,NGO,REG862377,"49/631, Toor Circle",Mumbai,Maharashtra,India,Construction,Active,SRC015,0.98,2024-12-12 13:31:46,2025-12-25 21:02:02
O0058,Mishra Industries,,Consultancy,REG156449,"610, Narula Zila",Pune,Maharashtra,India,Transport,Under Review,SRC029,0.93,2025-12-26 04:37:51,2026-04-01 17:57:46
O0059,Rathore Logistics,Org-0059,Transport Company,REG824337,"32, Chacko Ganj",Ujjain,Madhya Pradesh,India,Retail,Under Review,SRC004,0.97,2024-02-14 17:50:21,2025-11-14 17:27:59
O0060,Agarwal Logistics,,Logistics Company,REG217455,"78, Manda Circle",Gurugram,Haryana,India,Construction,Under Review,SRC007,0.95,2025-02-11 11:47:48,2026-07-29 05:27:01
O0061,Jain Enterprises,,Security Agency,REG721211,"H.No. 20, Chana Zila",Indore,Madhya Pradesh,India,Technology,Inactive,SRC001,0.98,2025-05-19 11:26:29,2025-06-01 06:26:29
O0062,Malhotra Transport,,Hospitality Business,REG461698,"26, Mitter Ganj",Ujjain,Madhya Pradesh,India,Logistics,Under Review,SRC016,0.89,2024-02-14 22:57:10,2026-01-29 09:23:37
O0063,Saxena Solutions,,Consultancy,REG259408,"H.No. 97, Kunda Chowk",Jabalpur,Madhya Pradesh,India,Construction,Active,SRC027,0.87,2024-04-15 03:42:12,2026-06-05 08:17:55
O0064,Patel Services,Org-0064,Transport Company,REG794300,"15, Hari Zila",Mumbai,Maharashtra,India,Manufacturing,Under Review,SRC017,0.94,2025-12-30 19:41:26,2026-01-24 20:41:26
O0065,Verma Enterprises,,Consultancy,REG988023,"88/276, Madan Ganj",Ujjain,Madhya Pradesh,India,Logistics,Active,SRC025,0.96,2024-07-23 06:10:03,2025-08-03 02:07:48
O0066,Chauhan Industries,,Logistics Company,REG545147,"571, Wadhwa Circle",Bengaluru,Karnataka,India,Hospitality,Inactive,SRC001,0.8,2025-01-26 01:01:45,2025-06-06 20:41:14
O0067,Deshmukh Enterprises,,Manufacturing Firm,REG977970,"H.No. 47, Shukla Ganj",Bengaluru,Karnataka,India,Hospitality,Inactive,SRC022,0.91,2024-10-04 20:18:08,2025-03-24 09:47:42
O0068,Jain Trading,,Logistics Company,REG130700,"72/747, Jaggi",Jabalpur,Madhya Pradesh,India,Manufacturing,Active,SRC024,0.93,2024-04-30 13:56:42,2025-10-31 11:09:49
O0069,Sharma Industries,Org-0069,Consultancy,REG168892,"12, Gupta Ganj",Lucknow,Uttar Pradesh,India,Transport,Under Review,SRC002,0.91,2025-02-16 12:15:34,2025-05-13 22:05:17
O0070,Jain Trading,,Transport Company,REG985396,"15/542, Sarna Ganj",Mumbai,Maharashtra,India,Logistics,Inactive,SRC011,0.97,2024-08-26 13:26:18,2025-10-26 23:02:15
O0071,Agarwal Enterprises,,NGO,REG827176,"04, Krishna Zila",Gurugram,Haryana,India,Construction,Under Review,SRC029,0.92,2026-03-20 15:12:41,2026-04-06 11:12:41
O0072,Yadav Enterprises,,Logistics Company,REG981568,"H.No. 364, Dora Ganj",Pune,Maharashtra,India,Manufacturing,Active,SRC005,0.9,2024-08-24 23:18:37,2025-07-02 06:23:14
O0073,Tiwari Industries,,Retail Business,REG677146,"32, Shankar Circle",Surat,Gujarat,India,Technology,Under Review,SRC009,0.87,2025-03-15 13:27:20,2026-01-07 01:08:37
O0074,Gupta Transport,,Manufacturing Firm,REG541272,"84/004, Bir Street",Gwalior,Madhya Pradesh,India,Logistics,Active,SRC030,0.86,2026-02-22 14:18:41,2026-08-08 03:52:56
O0075,Jain Services,,NGO,REG316207,"88/57, Agrawal Marg",Dewas,Madhya Pradesh,India,Manufacturing,Active,SRC013,0.97,2024-03-08 05:06:46,2025-07-09 21:27:40
O0076,Singh Trading,,Logistics Company,REG370634,"67/939, Grover",Mumbai,Maharashtra,India,Construction,Inactive,SRC009,0.88,2025-04-25 02:14:26,2025-06-06 23:18:51
O0077,Agarwal Services,,Security Agency,REG642387,"07, Venkataraman",Lucknow,Uttar Pradesh,India,Hospitality,Under Review,SRC016,0.98,2025-08-04 04:08:04,2025-11-26 06:48:29
O0078,Patel Services,,Trading Firm,REG236597,"89/207, Vaidya",Nagpur,Maharashtra,India,Logistics,Inactive,SRC008,0.82,2026-08-19 07:49:49,2026-09-04 23:59:59
O0079,Saxena Trading,,Consultancy,REG519048,"10/13, De Marg",Surat,Gujarat,India,Logistics,Active,SRC009,0.87,2024-09-29 21:39:23,2025-05-08 09:48:15
O0080,Sharma Transport,,Security Agency,REG365354,"H.No. 952, Lal Marg",Ahmedabad,Gujarat,India,Retail,Inactive,SRC015,0.83,2026-01-24 10:28:02,2026-02-04 06:28:02
O0081,Agarwal Solutions,,Hospitality Business,REG171766,"H.No. 63, Dhillon Street",Gwalior,Madhya Pradesh,India,Retail,Inactive,SRC018,0.87,2026-06-29 09:26:07,2026-07-05 11:26:07
O0082,Agarwal Services,,Transport Company,REG493270,"H.No. 546, Vig Chowk",Gwalior,Madhya Pradesh,India,Retail,Active,SRC017,0.92,2026-04-21 03:45:49,2026-05-01 05:45:49
O0083,Sharma Industries,,Retail Business,REG843731,"80/59, Lala Path",Jaipur,Rajasthan,India,Transport,Inactive,SRC012,0.97,2025-04-11 05:06:31,2025-05-05 00:06:31
O0084,Chauhan Transport,,Hospitality Business,REG631163,"892, Modi Ganj",Dewas,Madhya Pradesh,India,Transport,Active,SRC016,0.89,2026-02-15 11:00:03,2026-03-11 17:00:03
O0085,Sharma Trading,,Security Agency,REG762577,"H.No. 424, Thakur Ganj",Nagpur,Maharashtra,India,Technology,Inactive,SRC011,0.96,2025-10-03 15:02:02,2025-10-21 22:02:02
O0086,Mishra Industries,,Logistics Company,REG342081,"724, Dugar",Vadodara,Gujarat,India,Logistics,Active,SRC003,0.91,2025-06-04 23:35:37,2026-04-23 03:00:46
O0087,Singh Trading,,Construction Company,REG331259,"96/965, Kapoor Chowk",Kota,Rajasthan,India,Hospitality,Under Review,SRC016,0.97,2025-05-29 14:58:47,2026-05-15 13:09:54
O0088,Patel Solutions,,Consultancy,REG879872,"75/122, Sundaram Nagar",Jabalpur,Madhya Pradesh,India,Construction,Inactive,SRC026,0.9,2024-05-13 10:31:57,2026-03-13 03:17:25
O0089,Saxena Solutions,,Logistics Company,REG709149,"80/56, Goel Nagar",Kanpur,Uttar Pradesh,India,Technology,Under Review,SRC021,0.89,2026-06-08 19:50:38,2026-06-12 23:50:38
O0090,Gupta Enterprises,Org-0090,Manufacturing Firm,REG701449,"03/213, Shetty Ganj",Hyderabad,Telangana,India,Retail,Inactive,SRC022,0.97,2025-06-04 01:01:54,2026-05-13 22:45:31
O0091,Verma Transport,,Transport Company,REG531869,"84, Rege Nagar",Vadodara,Gujarat,India,Transport,Active,SRC008,0.85,2024-09-27 06:13:30,2026-08-29 17:49:02
O0092,Malhotra Transport,,Consultancy,REG952441,"55/50, Gulati Chowk",Lucknow,Uttar Pradesh,India,Manufacturing,Active,SRC001,0.93,2024-06-19 12:43:42,2026-08-29 13:42:41
O0093,Rathore Transport,,Manufacturing Firm,REG451675,"H.No. 822, Loke Road",Dewas,Madhya Pradesh,India,Retail,Inactive,SRC026,0.83,2025-10-25 00:16:37,2025-11-30 02:58:09
O0094,Malhotra Enterprises,,Hospitality Business,REG548524,"061, Vala Nagar",Vadodara,Gujarat,India,Technology,Inactive,SRC005,0.96,2024-12-26 23:27:57,2025-09-30 17:47:49
O0095,Saxena Industries,,Consultancy,REG459446,"H.No. 419, Reddy Ganj",Gurugram,Haryana,India,Finance,Under Review,SRC001,0.98,2024-09-04 18:26:04,2026-02-26 21:45:52
O0096,Mishra Solutions,,Trading Firm,REG779855,"H.No. 15, Dasgupta Zila",Gwalior,Madhya Pradesh,India,Manufacturing,Active,SRC009,0.86,2025-05-10 12:19:17,2025-05-24 02:19:17
O0097,Agarwal Solutions,,Manufacturing Firm,REG293068,"H.No. 329, Bhatia Path",Hyderabad,Telangana,India,Construction,Inactive,SRC022,0.82,2024-03-16 19:25:11,2024-05-03 17:08:51
O0098,Gupta Transport,,Construction Company,REG543089,"213, Deshpande",Kota,Rajasthan,India,Transport,Under Review,SRC017,0.92,2026-06-20 08:06:38,2026-07-06 09:06:38
O0099,Verma Logistics,Org-0099,Logistics Company,REG587717,"H.No. 27, Nadig Ganj",Ujjain,Madhya Pradesh,India,Retail,Active,SRC022,0.94,2024-02-05 05:52:15,2024-05-13 18:55:54
O0100,Joshi Services,,Trading Firm,REG873499,"16/10, Nori Zila",Ahmedabad,Gujarat,India,Construction,Active,SRC028,0.85,2024-08-05 15:00:36,2024-09-02 03:00:36
O0101,Agarwal Transport,,Security Agency,REG282169,"H.No. 597, Mishra Circle",Hyderabad,Telangana,India,Construction,Inactive,SRC023,0.87,2026-08-30 23:25:18,2026-09-04 23:59:59
O0102,Tiwari Trading,,Consultancy,REG277190,"H.No. 35, Modi Zila",Jabalpur,Madhya Pradesh,India,Manufacturing,Under Review,SRC012,0.96,2025-10-31 02:43:55,2025-11-03 00:43:55
O0103,Shah Transport,,Transport Company,REG150622,"81/76, Bains Ganj",Gurugram,Haryana,India,Finance,Inactive,SRC029,0.86,2025-10-08 14:59:01,2025-10-26 14:59:01
O0104,Yadav Solutions,,Trading Firm,REG458247,"H.No. 543, Saran Zila",Nagpur,Maharashtra,India,Finance,Under Review,SRC024,0.99,2025-11-03 04:58:02,2026-08-30 12:06:22
O0105,Yadav Logistics,,NGO,REG928790,"41/048, Devan Circle",Lucknow,Uttar Pradesh,India,Transport,Active,SRC030,0.94,2026-03-04 03:06:25,2026-03-23 16:06:25
O0106,Rathore Solutions,,Trading Firm,REG536754,"20, Guha Nagar",Indore,Madhya Pradesh,India,Retail,Active,SRC010,0.98,2025-09-06 19:35:36,2025-11-17 11:41:37
O0107,Malhotra Services,,Trading Firm,REG208077,"52, Jayaraman",Nagpur,Maharashtra,India,Construction,Active,SRC025,0.91,2025-08-16 10:24:59,2025-09-11 15:24:59
O0108,Agarwal Trading,,Security Agency,REG613249,"H.No. 565, Shetty Marg",Vadodara,Gujarat,India,Construction,Under Review,SRC027,0.95,2025-08-25 03:32:04,2025-09-14 20:32:04
O0109,Tiwari Industries,,Retail Business,REG844959,"12, Mukhopadhyay Chowk",Lucknow,Uttar Pradesh,India,Finance,Active,SRC016,0.99,2026-02-21 04:44:03,2026-03-04 08:44:03
O0110,Agarwal Transport,,Consultancy,REG580762,"059, De Chowk",Gurugram,Haryana,India,Logistics,Active,SRC016,0.91,2024-11-08 12:05:26,2024-11-16 10:05:26
O0111,Singh Enterprises,,Retail Business,REG199412,"H.No. 97, Shanker Nagar",Gwalior,Madhya Pradesh,India,Finance,Active,SRC025,0.92,2025-10-11 14:52:47,2025-11-10 10:52:47
O0112,Sharma Transport,,Construction Company,REG525909,"87/86, Goswami Zila",Kanpur,Uttar Pradesh,India,Manufacturing,Under Review,SRC019,0.81,2026-07-05 11:53:11,2026-07-13 23:53:11
O0113,Chauhan Services,,Construction Company,REG667429,"28/540, Atwal Road",Kota,Rajasthan,India,Hospitality,Inactive,SRC030,0.94,2024-05-17 16:52:58,2025-12-31 00:18:56
O0114,Tiwari Trading,,Retail Business,REG581688,"84, Bhat Path",Mumbai,Maharashtra,India,Retail,Inactive,SRC010,0.88,2024-04-07 13:41:13,2026-02-14 04:00:38
O0115,Singh Logistics,,Logistics Company,REG969383,"584, Contractor Circle",Lucknow,Uttar Pradesh,India,Logistics,Active,SRC022,0.99,2025-08-29 02:12:13,2025-09-11 05:12:13
O0116,Sharma Industries,,Manufacturing Firm,REG983719,"H.No. 59, Grewal Circle",Gurugram,Haryana,India,Logistics,Inactive,SRC002,0.95,2025-11-18 09:39:32,2025-12-03 11:39:32
O0117,Bansal Industries,Org-0117,NGO,REG888334,"05, Mitra Marg",Gurugram,Haryana,India,Hospitality,Under Review,SRC023,0.95,2025-08-19 00:49:43,2025-09-14 11:49:43
O0118,Jain Trading,Org-0118,Logistics Company,REG698358,"29, Garde Zila",Hyderabad,Telangana,India,Construction,Inactive,SRC017,0.85,2025-01-24 09:44:08,2025-05-14 08:53:59
O0119,Mishra Services,,NGO,REG561644,"345, Handa Ganj",Jabalpur,Madhya Pradesh,India,Hospitality,Under Review,SRC006,0.92,2025-06-13 17:33:11,2026-03-07 01:28:28
O0120,Verma Industries,,Security Agency,REG805898,"26/97, Uppal Circle",Vadodara,Gujarat,India,Transport,Inactive,SRC013,0.86,2025-09-26 04:41:07,2025-10-25 14:41:07
O0121,Mishra Services,,Security Agency,REG194174,"20/852, Patil Nagar",Jabalpur,Madhya Pradesh,India,Finance,Under Review,SRC004,0.88,2025-01-24 07:02:19,2025-02-13 20:02:19
O0122,Malhotra Services,,Retail Business,REG103662,"440, Yogi Path",Hyderabad,Telangana,India,Logistics,Active,SRC010,0.86,2026-02-24 20:33:27,2026-03-06 11:33:27
O0123,Singh Logistics,,Construction Company,REG516496,"H.No. 974, Pai Ganj",Jabalpur,Madhya Pradesh,India,Construction,Active,SRC007,0.82,2026-07-06 15:25:58,2026-07-23 00:25:58
O0124,Malhotra Enterprises,,Retail Business,REG564835,"49/209, Mammen Path",Jaipur,Rajasthan,India,Construction,Active,SRC001,0.92,2024-11-07 12:44:24,2024-12-05 04:44:24
O0125,Yadav Industries,,Security Agency,REG913233,"831, Sethi Zila",Bhopal,Madhya Pradesh,India,Logistics,Under Review,SRC013,0.84,2026-05-14 18:47:16,2026-06-08 19:47:16
O0126,Mishra Transport,,Construction Company,REG384964,"44/22, Khalsa Circle",Ujjain,Madhya Pradesh,India,Manufacturing,Inactive,SRC024,0.89,2024-05-16 20:26:47,2025-09-10 11:08:33
O0127,Singh Enterprises,,Transport Company,REG605610,"87/427, Roy",Gwalior,Madhya Pradesh,India,Logistics,Active,SRC024,0.95,2025-12-22 09:41:37,2026-01-17 16:41:37
O0128,Chauhan Solutions,,Hospitality Business,REG729648,"55/09, Sathe Road",Mumbai,Maharashtra,India,Construction,Active,SRC005,0.89,2025-06-01 02:39:20,2025-10-17 18:42:02
O0129,Gupta Enterprises,,NGO,REG472194,"H.No. 638, Ganguly Circle",Pune,Maharashtra,India,Hospitality,Active,SRC025,0.98,2025-05-07 13:45:09,2026-06-12 07:55:31
O0130,Jain Services,,Transport Company,REG621448,"59/251, Cheema Street",Lucknow,Uttar Pradesh,India,Finance,Active,SRC011,0.94,2024-04-26 23:30:45,2026-06-04 08:12:36
O0131,Patel Logistics,,Transport Company,REG852312,"23, Chacko Zila",Mumbai,Maharashtra,India,Manufacturing,Under Review,SRC023,0.94,2025-02-26 08:18:38,2026-05-18 19:41:00
O0132,Sharma Transport,,Security Agency,REG249500,"H.No. 63, Kapadia Marg",Bhopal,Madhya Pradesh,India,Construction,Inactive,SRC030,0.97,2024-01-01 10:41:36,2026-06-28 14:41:24
O0133,Yadav Logistics,,Transport Company,REG344550,"33/590, Pall Zila",Mumbai,Maharashtra,India,Construction,Under Review,SRC004,0.92,2025-01-20 17:32:12,2025-02-01 23:32:12
O0134,Bansal Trading,,Retail Business,REG517987,"55/694, Lalla Zila",Kanpur,Uttar Pradesh,India,Retail,Active,SRC012,0.92,2026-06-25 13:22:09,2026-08-07 08:52:33
O0135,Sharma Enterprises,,Consultancy,REG205935,"592, Hayer Circle",Kanpur,Uttar Pradesh,India,Technology,Under Review,SRC022,0.82,2025-12-03 09:49:15,2026-03-22 12:09:56
O0136,Shah Solutions,,Logistics Company,REG784246,"577, Chaudhuri Road",Kota,Rajasthan,India,Hospitality,Inactive,SRC012,0.96,2025-09-30 23:49:59,2025-10-01 22:49:59
O0137,Agarwal Enterprises,,Construction Company,REG200515,"H.No. 66, Sheth Path",Vadodara,Gujarat,India,Technology,Inactive,SRC022,0.93,2025-01-26 03:25:06,2025-02-22 19:25:06
O0138,Yadav Transport,,Hospitality Business,REG403421,"655, Ramanathan Circle",Pune,Maharashtra,India,Logistics,Inactive,SRC007,0.94,2024-04-21 11:13:49,2024-04-22 16:07:41
O0139,Gupta Solutions,,Manufacturing Firm,REG549499,"96, Ramakrishnan Chowk",Delhi,Delhi,India,Technology,Under Review,SRC007,0.85,2025-08-05 23:54:54,2025-08-22 04:12:02
O0140,Bansal Transport,,Manufacturing Firm,REG139862,"H.No. 96, Karan Street",Jabalpur,Madhya Pradesh,India,Construction,Under Review,SRC015,0.92,2024-10-29 19:04:51,2024-11-18 18:04:51
O0141,Yadav Solutions,,Transport Company,REG810640,"51/56, Vyas Street",Bengaluru,Karnataka,India,Construction,Active,SRC023,0.87,2024-07-19 15:13:59,2025-04-28 05:26:44
