event_id,event_type,event_name,description,start_timestamp,end_timestamp,location_id,case_id,primary_entity_type,primary_entity_id,source_id,evidence_id,confidence_score,created_at
E00011,MEETING,Event 00011,Synthetic meeting event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-10-22 04:04:17,2024-10-22 07:47:17,L01092,,PERSON,P00990,SRC009,EV03193,0.7,2024-12-11 05:03:07
E00012,ARREST,Event 00012,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-02-26 22:39:39,2026-02-27 05:38:39,L01697,C00639,PERSON,P03789,SRC028,EV02043,0.79,2024-12-10 22:36:54
E00013,SURVEILLANCE,Event 00013,Synthetic surveillance event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-02-28 07:55:51,2024-02-28 10:39:51,L00117,,PERSON,P03845,SRC028,EV01466,0.83,2024-01-09 05:26:53
E00014,ARREST,Event 00014,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-11-23 03:34:57,2024-11-23 08:53:57,L01753,,PERSON,P03979,SRC016,EV02658,0.85,2025-09-30 16:38:34
E00015,MEETING,Event 00015,Synthetic meeting event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-09-07 03:57:07,2025-09-07 12:46:07,L00499,C00453,PERSON,P00301,SRC024,EV04700,0.74,2025-09-22 13:01:44
E00016,CRIME,Event 00016,Synthetic crime event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-12-08 07:53:46,2025-12-08 13:18:46,L00727,,PERSON,P02856,SRC017,EV00008,0.72,2024-03-09 15:57:32
E00017,ARREST,Event 00017,Error magni hic itaque vitae velit dignissimos aliquid pariatur nemo est explicabo.,2025-04-27 00:18:12,2025-04-27 01:25:12,L01336,,PERSON,P00388,SRC004,EV00654,0.81,2025-05-17 21:36:06
E00018,ARREST,Event 00018,At vitae consectetur voluptatibus enim labore ipsa ea itaque pariatur corrupti saepe autem.,2025-03-13 03:00:18,2025-03-13 12:09:18,L00151,,PERSON,P03751,SRC025,EV03110,0.7,2024-01-12 12:50:12
E00019,INCIDENT,Event 00019,Synthetic incident event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-05-06 02:53:26,2026-05-06 05:20:26,L00459,C01010,PERSON,P01879,SRC027,EV04023,0.84,2025-11-22 22:52:01
E00020,TRANSACTION,Event 00020,Synthetic transaction event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-06-02 06:40:21,2026-06-02 18:27:21,L00198,C00457,PERSON,P02817,SRC029,EV01551,0.78,2026-06-05 16:48:28
E00021,CRIME,Event 00021,Synthetic crime event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-01-27 07:08:46,2025-01-27 17:49:46,L01120,C00805,PERSON,P00643,SRC018,EV04423,0.9,2025-02-11 14:13:56
E00022,CRIME,Event 00022,Synthetic crime event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-07-23 20:56:55,2025-07-24 04:06:55,L02358,C00695,PERSON,P03769,SRC023,EV02014,0.9,2024-11-14 12:22:29
E00023,ARREST,Event 00023,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-08-09 19:44:42,2024-08-10 04:06:42,L00244,C00676,PERSON,P00012,SRC020,EV03138,0.94,2026-04-20 05:37:45
E00024,TRAVEL,Event 00024,Synthetic travel event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-02-05 23:07:34,2025-02-06 01:37:34,L00615,C00661,PERSON,P01232,SRC017,EV04253,0.84,2025-01-15 12:12:36
E00025,SURVEILLANCE,Event 00025,Delectus minima occaecati et illo ipsam asperiores quam.,2024-04-29 15:33:31,2024-04-29 22:05:31,L01489,C00539,PERSON,P01518,SRC006,EV02457,0.93,2024-12-12 06:26:36
E00026,ARREST,Event 00026,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-09-08 00:00:29,2025-09-08 01:27:29,L00199,C01032,PERSON,P02188,SRC008,EV04105,0.93,2026-07-14 12:48:23
E00027,INCIDENT,Event 00027,Synthetic incident event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-07-04 05:21:39,2025-07-04 06:00:39,L01653,C00844,PERSON,P03349,SRC011,EV01598,0.93,2025-09-18 21:34:55
E00028,CRIME,Event 00028,Veniam beatae amet veritatis accusamus excepturi perferendis maxime at.,2024-01-25 07:10:26,2024-01-25 10:36:26,L00034,C00338,PERSON,P02899,SRC021,EV00879,0.74,2026-03-09 03:06:07
E00029,INCIDENT,Event 00029,Nulla assumenda optio voluptatum sint autem vero explicabo id.,2025-10-26 11:33:00,2025-10-26 18:05:00,L00742,,PERSON,P01368,SRC009,EV02121,0.93,2025-07-30 10:26:22
E00030,MEETING,Event 00030,Synthetic meeting event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-05-06 03:04:23,2026-05-06 05:45:23,L01371,C00080,PERSON,P02825,SRC005,EV02543,0.89,2026-05-25 13:39:55
E00031,MEETING,Event 00031,Synthetic meeting event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-07-23 09:33:44,2025-07-23 15:13:44,L01113,C00422,PERSON,P02882,SRC014,EV04472,0.94,2025-11-22 03:45:24
E00032,SURVEILLANCE,Event 00032,Synthetic surveillance event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-01-30 08:14:28,2025-01-30 15:53:28,L00281,C00791,PERSON,P03781,SRC012,EV03347,0.9,2024-08-09 22:08:45
E00033,TRANSACTION,Event 00033,Reiciendis perferendis sapiente enim quisquam placeat fugit optio nam est est.,2026-05-03 13:11:13,2026-05-03 17:14:13,L00160,,PERSON,P03507,SRC006,EV01875,0.79,2025-04-26 01:32:29
E00034,TRAVEL,Event 00034,Synthetic travel event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-03-18 02:49:45,2024-03-18 14:22:45,L00190,C00358,PERSON,P01260,SRC019,EV03055,0.83,2024-12-20 07:11:04
E00035,MEETING,Event 00035,Synthetic meeting event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-07-13 15:51:14,2025-07-13 18:47:14,L00692,C00191,PERSON,P01019,SRC009,EV01485,0.82,2024-06-08 19:11:58
E00036,MEETING,Event 00036,Synthetic meeting event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-09-03 17:05:49,2025-09-03 21:07:49,L00846,,PERSON,P00638,SRC002,EV04105,0.75,2024-10-24 08:06:10
E00037,MEETING,Event 00037,Synthetic meeting event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-12-29 02:09:07,2025-12-29 09:26:07,L01386,C01186,PERSON,P03011,SRC005,EV01304,0.74,2024-12-29 03:42:10
E00038,TRANSACTION,Event 00038,Synthetic transaction event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-05-08 10:32:46,2026-05-08 18:28:46,L01897,C00771,PERSON,P01185,SRC018,EV01452,0.92,2024-10-24 11:20:53
E00039,ARREST,Event 00039,Laboriosam in minima rem quo error temporibus eveniet aliquam non molestiae minus.,2026-06-14 03:23:49,2026-06-14 11:46:49,L01544,,PERSON,P01114,SRC021,EV03522,0.88,2024-06-18 10:09:43
E00040,INCIDENT,Event 00040,Minus sed modi minima rerum totam reprehenderit veniam repellat.,2024-02-01 18:31:31,2024-02-02 00:58:31,L01507,C00596,PERSON,P03384,SRC007,EV04221,0.77,2024-10-15 20:42:52
E00041,INCIDENT,Event 00041,Deleniti corporis magnam sint qui accusamus ratione nihil temporibus necessitatibus provident voluptatem nemo assumenda numquam sapiente.,2025-08-20 22:41:52,2025-08-21 10:14:52,L02261,C00022,PERSON,P01445,SRC030,EV03661,0.97,2025-01-30 20:10:01
E00042,MEETING,Event 00042,Synthetic meeting event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-11-19 02:31:11,2024-11-19 11:33:11,L01697,C00164,PERSON,P02255,SRC020,EV03952,0.85,2026-01-16 18:18:06
E00043,CRIME,Event 00043,Synthetic crime event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-02-27 03:51:22,2026-02-27 15:48:22,L01766,C00337,PERSON,P00572,SRC019,EV00530,0.9,2024-05-18 01:01:16
E00044,ARREST,Event 00044,Sequi a tenetur placeat sapiente fugit expedita.,2025-12-12 01:54:11,2025-12-12 10:52:11,L01219,C00813,PERSON,P01610,SRC001,EV04183,0.87,2025-01-09 06:05:43
E00045,TRANSACTION,Event 00045,Alias pariatur placeat ducimus quos quia soluta hic eligendi rem.,2024-12-14 08:18:53,2024-12-14 14:18:53,L00498,C01196,PERSON,P03482,SRC008,EV00972,0.97,2024-01-08 11:11:05
E00046,ARREST,Event 00046,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-05-01 19:50:52,2025-05-02 02:37:52,L01774,,PERSON,P02393,SRC016,EV02875,0.9,2024-09-07 09:32:38
E00047,ARREST,Event 00047,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-12-16 17:41:48,2024-12-16 22:05:48,L00542,,PERSON,P00921,SRC029,EV03282,0.9,2026-03-28 03:07:50
E00048,CRIME,Event 00048,Quasi occaecati eveniet temporibus itaque eos eveniet.,2025-10-17 18:36:15,2025-10-17 22:19:15,L01748,C00542,PERSON,P00552,SRC024,EV02284,0.97,2025-04-25 12:23:29
E00049,CRIME,Event 00049,Fugiat eveniet minima facilis natus beatae ex voluptate enim ut magni corporis omnis.,2025-10-18 18:41:05,2025-10-18 19:23:05,L00059,,PERSON,P02718,SRC024,EV00500,0.93,2025-03-24 00:42:59
E00050,ARREST,Event 00050,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-09-10 15:26:30,2025-09-10 18:01:30,L01467,C00205,PERSON,P03248,SRC029,EV01705,0.71,2025-07-06 12:05:02
E00051,INCIDENT,Event 00051,Synthetic incident event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-01-26 10:20:47,2024-01-26 11:12:47,L00373,C01164,PERSON,P00823,SRC028,EV03525,0.95,2024-07-06 19:01:35
E00052,INCIDENT,Event 00052,Synthetic incident event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-10-18 23:56:40,2024-10-19 05:29:40,L00596,,PERSON,P02264,SRC008,EV03758,0.92,2026-03-02 00:31:33
E00053,ARREST,Event 00053,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-08-08 00:03:48,2024-08-08 09:58:48,L02308,C00989,PERSON,P00571,SRC024,EV04818,0.82,2025-03-09 06:08:18
E00054,ARREST,Event 00054,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-03-18 03:32:35,2026-03-18 05:04:35,L02213,,PERSON,P00536,SRC020,EV03322,0.92,2025-01-29 21:06:40
E00055,TRANSACTION,Event 00055,Synthetic transaction event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-02-17 06:08:49,2024-02-17 09:56:49,L00925,C00947,PERSON,P01665,SRC005,EV01024,0.97,2026-07-05 03:43:39
E00056,INCIDENT,Event 00056,Synthetic incident event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-07-06 01:08:35,2025-07-06 09:18:35,L00682,C00141,PERSON,P03980,SRC001,EV00643,0.81,2025-10-14 08:46:20
E00057,MEETING,Event 00057,Eum id voluptatem alias quos consequatur cum voluptates perspiciatis a asperiores voluptates adipisci accusamus.,2025-11-17 00:39:18,2025-11-17 01:43:18,L00816,C00908,PERSON,P03962,SRC016,EV00334,0.73,2024-03-07 10:04:11
E00058,MEETING,Event 00058,Laudantium possimus cumque aliquid officiis fuga ad.,2024-11-01 08:37:31,2024-11-01 17:04:31,L00107,C00977,PERSON,P02702,SRC026,EV04874,0.96,2025-10-23 23:26:20
E00059,TRAVEL,Event 00059,Synthetic travel event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-02-09 13:17:14,2026-02-09 18:43:14,L02113,,PERSON,P02184,SRC029,EV02961,0.86,2026-05-15 04:44:47
E00060,TRANSACTION,Event 00060,Synthetic transaction event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-07-29 09:28:13,2026-07-29 14:35:13,L00398,,PERSON,P03045,SRC015,EV00290,0.96,2024-05-10 05:05:16
E00061,CRIME,Event 00061,Id id ad consequatur quibusdam corrupti nihil porro officiis eligendi amet consequuntur esse.,2026-08-17 07:10:08,2026-08-17 17:07:08,L01863,,PERSON,P03311,SRC030,EV01594,0.77,2025-07-25 11:59:39
E00062,CRIME,Event 00062,Synthetic crime event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-10-12 12:11:27,2025-10-12 23:09:27,L01442,C00454,PERSON,P03350,SRC003,EV02941,0.73,2026-08-14 10:13:55
E00063,TRANSACTION,Event 00063,Synthetic transaction event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-08-28 14:02:03,2024-08-28 22:41:03,L02356,C01034,PERSON,P02178,SRC023,EV03385,0.78,2024-01-04 00:56:45
E00064,INCIDENT,Event 00064,Consequatur tempore facere non atque iure iure architecto corporis repellat veniam.,2024-08-04 23:31:56,2024-08-05 05:10:56,L00523,,PERSON,P00223,SRC007,EV02629,0.92,2024-02-07 01:15:44
E00065,TRAVEL,Event 00065,Synthetic travel event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-07-18 01:00:37,2026-07-18 12:23:37,L00907,C00309,PERSON,P00375,SRC016,EV01079,0.72,2026-02-02 12:10:08
E00066,TRAVEL,Event 00066,Synthetic travel event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-01-04 14:53:53,2024-01-05 00:08:53,L02457,C00022,PERSON,P02946,SRC017,EV01682,0.81,2026-07-16 14:23:22
E00067,TRAVEL,Event 00067,Aliquid consequuntur perferendis hic velit ab molestias temporibus.,2025-12-25 14:53:55,2025-12-25 18:25:55,L01263,C00674,PERSON,P00243,SRC002,EV02213,0.84,2026-02-22 05:00:45
E00068,INCIDENT,Event 00068,Maiores nam inventore deserunt distinctio voluptatem voluptate assumenda corrupti amet molestias fuga.,2025-04-25 18:23:58,2025-04-25 22:10:58,L01401,C00757,PERSON,P03841,SRC014,EV02145,0.9,2024-05-18 09:55:14
E00069,ARREST,Event 00069,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-03-29 10:21:44,2025-03-29 16:03:44,L00203,,PERSON,P03177,SRC002,EV04638,0.79,2025-01-21 17:36:55
E00070,MEETING,Event 00070,Illo perspiciatis eligendi officia amet consequatur architecto.,2026-04-21 04:48:24,2026-04-21 07:42:24,L01002,,PERSON,P02584,SRC005,EV00122,0.71,2024-06-28 17:00:12
E00071,CRIME,Event 00071,Synthetic crime event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-03-25 12:37:19,2025-03-25 15:20:19,L01952,C01170,PERSON,P00674,SRC011,EV03509,0.74,2024-07-28 23:00:33
E00072,SURVEILLANCE,Event 00072,Synthetic surveillance event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-05-28 02:45:48,2025-05-28 12:42:48,L01626,C01066,PERSON,P00240,SRC008,EV01325,0.85,2026-06-08 14:04:11
E00073,ARREST,Event 00073,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-01-30 13:03:01,2025-01-30 14:24:01,L00041,C00549,PERSON,P03486,SRC022,EV04646,0.87,2025-03-27 22:11:07
E00074,INCIDENT,Event 00074,Synthetic incident event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-08-09 16:12:40,2024-08-09 23:08:40,L02457,C00558,PERSON,P00367,SRC014,EV02161,0.86,2025-03-16 08:49:55
E00075,TRANSACTION,Event 00075,Synthetic transaction event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-03-31 03:26:20,2026-03-31 04:09:20,L00831,C00373,PERSON,P01262,SRC001,EV03336,0.94,2024-07-19 17:27:42
E00076,MEETING,Event 00076,Synthetic meeting event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-06-11 07:32:55,2024-06-11 17:59:55,L01847,,PERSON,P03670,SRC016,EV02289,0.86,2025-04-23 08:36:06
E00077,INCIDENT,Event 00077,Atque totam cumque pariatur natus velit illum odio voluptatibus alias numquam nam accusamus.,2026-07-25 21:38:16,2026-07-26 05:54:16,L01448,C00020,PERSON,P01096,SRC021,EV03114,0.77,2025-02-06 17:39:56
E00078,ARREST,Event 00078,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-11-29 09:25:40,2024-11-29 18:39:40,L01364,C00492,PERSON,P01617,SRC029,EV02861,0.91,2025-10-18 20:47:12
E00079,SURVEILLANCE,Event 00079,Synthetic surveillance event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-04-29 12:47:32,2026-04-29 15:05:32,L01970,C00128,PERSON,P00837,SRC009,EV02963,0.91,2025-12-14 20:08:33
E00080,MEETING,Event 00080,Synthetic meeting event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-05-06 05:32:34,2024-05-06 17:30:34,L00090,C00618,PERSON,P02452,SRC013,EV00873,0.79,2024-10-16 16:13:09
E00081,INCIDENT,Event 00081,Synthetic incident event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-03-14 04:10:12,2025-03-14 12:17:12,L01751,C01146,PERSON,P00612,SRC009,EV01813,0.79,2025-11-06 09:07:32
E00082,TRAVEL,Event 00082,Synthetic travel event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-03-09 18:28:35,2025-03-10 03:02:35,L01183,C00353,PERSON,P03519,SRC003,EV03036,0.95,2026-05-03 08:15:01
E00083,MEETING,Event 00083,Synthetic meeting event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-08-25 08:08:09,2025-08-25 15:01:09,L01670,,PERSON,P03600,SRC011,EV02770,0.94,2025-06-23 02:49:58
E00084,TRAVEL,Event 00084,Synthetic travel event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-02-10 11:23:19,2025-02-10 17:27:19,L02454,C00844,PERSON,P02110,SRC003,EV02875,0.86,2026-01-05 09:14:38
E00085,ARREST,Event 00085,Synthetic arrest event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-12-05 09:02:47,2024-12-05 16:12:47,L01320,C00443,PERSON,P01793,SRC017,EV01910,0.75,2024-08-08 20:25:58
E00086,SURVEILLANCE,Event 00086,Synthetic surveillance event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-06-07 06:46:37,2026-06-07 11:01:37,L01035,,PERSON,P03504,SRC029,EV04872,0.77,2024-03-27 11:10:57
E00087,TRAVEL,Event 00087,Eum officiis numquam aut a facere adipisci id eaque quis deleniti.,2025-06-21 11:47:19,2025-06-21 17:29:19,L01767,C00659,PERSON,P01689,SRC015,EV01496,0.83,2024-02-21 09:15:52
E00088,CRIME,Event 00088,A excepturi natus non occaecati vero id quisquam ut occaecati vero voluptatibus provident sint quisquam qui.,2025-06-19 04:08:46,2025-06-19 10:56:46,L02263,C00688,PERSON,P01753,SRC011,EV04541,0.83,2024-05-01 19:53:11
E00089,TRANSACTION,Event 00089,Synthetic transaction event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-07-03 22:34:31,2026-07-04 02:20:31,L00184,,PERSON,P00445,SRC008,EV03973,0.96,2025-08-31 14:51:30
E00090,ARREST,Event 00090,Incidunt inventore minus repellat odit impedit eligendi aliquid eum consectetur.,2025-09-02 13:56:41,2025-09-02 16:28:41,L01058,,PERSON,P01911,SRC021,EV01013,0.8,2025-03-20 06:22:30
E00091,INCIDENT,Event 00091,Neque aliquid suscipit at reprehenderit placeat esse eius architecto odit.,2026-05-08 00:37:49,2026-05-08 03:10:49,L00892,,PERSON,P02995,SRC027,EV02276,0.83,2024-07-04 10:27:06
E00092,SURVEILLANCE,Event 00092,Reiciendis culpa nemo accusamus atque soluta aut harum voluptates atque.,2024-02-12 09:25:30,2024-02-12 09:52:30,L01538,C00384,PERSON,P00738,SRC009,EV03076,0.8,2024-08-30 03:14:56
E00093,INCIDENT,Event 00093,Synthetic incident event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-08-21 07:30:31,2026-08-21 10:50:31,L01721,C00358,PERSON,P01650,SRC003,EV02890,0.78,2025-03-05 02:00:19
E00094,INCIDENT,Event 00094,Fuga possimus odio eaque eligendi delectus tempore totam fugit.,2025-11-08 07:52:52,2025-11-08 09:00:52,L01388,,PERSON,P00644,SRC017,EV01751,0.72,2026-05-31 13:02:48
E00095,INCIDENT,Event 00095,Synthetic incident event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-08-15 12:27:55,2024-08-15 22:43:55,L02228,C00573,PERSON,P02302,SRC029,EV01247,0.76,2024-05-22 05:40:48
E00096,TRANSACTION,Event 00096,Synthetic transaction event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-04-27 23:12:36,2026-04-28 02:54:36,L00030,,PERSON,P03323,SRC021,EV02704,0.86,2025-10-20 06:28:53
E00097,TRANSACTION,Event 00097,Sit cumque ab adipisci veritatis corrupti corporis soluta alias nihil reiciendis voluptatum minus maiores delectus.,2025-06-24 18:52:50,2025-06-25 02:49:50,L01244,C00510,PERSON,P03398,SRC004,EV01932,0.88,2025-06-01 02:11:43
E00098,TRANSACTION,Event 00098,Synthetic transaction event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-09-15 01:16:54,2025-09-15 09:08:54,L01822,,PERSON,P01993,SRC003,EV04340,0.91,2025-07-05 09:24:30
E00099,TRAVEL,Event 00099,Iure debitis distinctio voluptatem non corrupti ducimus ad commodi accusamus reprehenderit eum.,2024-10-31 21:37:16,2024-11-01 03:47:16,L00864,C00257,PERSON,P02964,SRC014,EV03792,0.85,2026-04-20 14:11:58
E00100,MEETING,Event 00100,Synthetic meeting event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-06-15 09:02:30,2025-06-15 20:17:30,L02497,C00217,PERSON,P03942,SRC017,EV00309,0.98,2024-04-18 04:57:45
E00101,TRANSACTION,Event 00101,Esse vitae repellendus sapiente quis voluptatibus repellat rem eligendi quo laborum.,2025-11-25 20:29:39,2025-11-26 07:14:39,L01233,C00983,PERSON,P03018,SRC004,EV04469,0.85,2024-10-12 21:38:13
E00102,MEETING,Event 00102,Porro aliquam delectus nostrum dignissimos esse aperiam rerum earum in laboriosam.,2024-02-25 11:34:28,2024-02-25 19:10:28,L00837,C00998,PERSON,P03573,SRC009,EV04366,0.92,2024-02-14 23:23:29
E00103,INCIDENT,Event 00103,Vero velit ex rerum esse at dignissimos tenetur ea voluptatem facere occaecati voluptatem a.,2024-06-15 01:23:12,2024-06-15 09:04:12,L01386,C00556,PERSON,P02518,SRC004,EV01937,0.82,2024-02-01 02:30:59
E00104,CRIME,Event 00104,Synthetic crime event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-12-10 16:37:10,2024-12-11 03:05:10,L00905,C00040,PERSON,P01321,SRC014,EV03933,0.85,2026-05-24 10:49:45
E00105,TRAVEL,Event 00105,Synthetic travel event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-04-05 17:31:13,2024-04-06 01:09:13,L00323,,PERSON,P00063,SRC004,EV03021,0.71,2026-06-16 04:05:46
E00106,SURVEILLANCE,Event 00106,Fugit aut expedita odio iste rem molestiae maxime voluptates voluptatum itaque.,2025-07-30 00:06:59,2025-07-30 04:30:59,L01720,C00539,PERSON,P00125,SRC025,EV00169,0.73,2024-11-25 04:38:11
E00107,MEETING,Event 00107,Voluptate alias aperiam molestiae qui fuga id aperiam necessitatibus commodi in optio sit expedita.,2024-03-29 14:17:53,2024-03-29 23:00:53,L00395,C00004,PERSON,P03565,SRC027,EV02542,0.95,2024-11-25 15:34:03
E00108,SURVEILLANCE,Event 00108,Synthetic surveillance event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2024-03-20 07:15:53,2024-03-20 18:32:53,L00079,C00976,PERSON,P02902,SRC028,EV04128,0.92,2025-04-18 03:48:36
E00109,TRAVEL,Event 00109,Synthetic travel event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-10-14 10:49:27,2025-10-14 19:41:27,L02439,C00939,PERSON,P03806,SRC002,EV00072,0.87,2025-04-25 01:37:11
E00110,SURVEILLANCE,Event 00110,Synthetic surveillance event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2025-02-02 23:40:08,2025-02-03 03:29:08,L00653,C00979,PERSON,P02472,SRC025,EV03070,0.89,2025-12-13 21:44:18
E00111,INCIDENT,Event 00111,Synthetic incident event record describing an observed investigative activity. It is intended for temporal and graph-analysis testing.,2026-04-17 04:04:12,2026-04-17 13:13:12,L00015,,PERSON,P01071,SRC029,EV03468,0.8,2024-02-14 13:15:05
