crime_id,case_id,crime_type,crime_category,description,event_date,event_time,location_id,severity_level,modus_operandi,status,source_document_id,confidence_score,created_at,updated_at
CR00026,C00177,Extortion,Property,Synthetic case narrative describing a reported extortion incident. The record contains source-derived details for graph correlation and requires verification.,2026-05-17,04:01:43,L01836,Critical,Layered transactions,Under Investigation,DOC00776,0.83,2026-04-28 07:07:10,2026-05-21 06:07:10
CR00027,C00922,Cybercrime,Property,Et cumque cumque assumenda libero velit odit eaque.,2026-03-09,18:47:10,L00590,Medium,Forged documents,Reported,DOC01420,0.76,2025-11-02 19:39:37,2026-01-06 04:26:31
CR00028,C01057,Burglary,Organized,Synthetic case narrative describing a reported burglary incident. The record contains source-derived details for graph correlation and requires verification.,2024-11-16,05:23:00,L01555,Medium,False identity,Under Investigation,DOC01013,0.9,2025-03-26 12:07:56,2026-06-04 16:01:51
CR00029,C00446,Cybercrime,Organized,Synthetic case narrative describing a reported cybercrime incident. The record contains source-derived details for graph correlation and requires verification.,2025-12-31,12:55:18,L00533,Critical,Forged documents,Under Investigation,DOC00909,0.84,2026-08-17 02:45:10,2026-09-04 18:45:10
CR00030,C00592,Smuggling,Violent,Synthetic case narrative describing a reported smuggling incident. The record contains source-derived details for graph correlation and requires verification.,2024-07-01,16:36:22,L01889,Critical,Forged documents,Reported,DOC00908,0.9,2024-10-16 17:29:20,2025-04-29 20:54:22
CR00031,C01095,Burglary,Cyber,Deserunt quis nostrum totam ab itaque veniam ratione mollitia quis at.,2025-07-29,08:35:31,L01554,Low,Vehicle-based movement,Confirmed,DOC01134,0.93,2024-07-02 20:23:03,2024-12-04 06:07:53
CR00032,C01051,Illegal Gambling,Property,Synthetic case narrative describing a reported illegal gambling incident. The record contains source-derived details for graph correlation and requires verification.,2024-06-16,06:44:20,L00220,High,Layered transactions,Reported,DOC01915,0.85,2026-03-02 18:57:14,2026-03-26 16:57:14
CR00033,C00283,Fraud,Organized,Synthetic case narrative describing a reported fraud incident. The record contains source-derived details for graph correlation and requires verification.,2025-12-14,08:22:28,L00981,High,Forged documents,Closed,DOC02947,0.91,2026-01-18 05:20:19,2026-02-02 08:20:19
CR00034,C00587,Illegal Gambling,Financial,Synthetic case narrative describing a reported illegal gambling incident. The record contains source-derived details for graph correlation and requires verification.,2025-10-29,12:02:04,L01415,Critical,Online impersonation,Closed,DOC00893,0.83,2026-05-31 07:14:17,2026-08-17 12:15:40
CR00035,C00904,Burglary,Property,Synthetic case narrative describing a reported burglary incident. The record contains source-derived details for graph correlation and requires verification.,2024-09-12,02:42:50,L00827,High,Online impersonation,Reported,DOC02792,0.75,2025-03-15 05:11:27,2025-03-31 17:11:27
CR00036,C00559,Burglary,Violent,Synthetic case narrative describing a reported burglary incident. The record contains source-derived details for graph correlation and requires verification.,2024-07-26,17:06:04,L00019,Medium,False identity,Closed,DOC01124,0.72,2026-05-07 00:26:58,2026-05-09 07:26:58
CR00037,C00636,Fraud,Organized,Synthetic case narrative describing a reported fraud incident. The record contains source-derived details for graph correlation and requires verification.,2026-08-09,22:56:23,L01890,High,Forged documents,Reported,DOC01143,0.87,2025-04-15 17:25:37,2025-05-10 23:57:13
CR00038,C00493,Cybercrime,Organized,Synthetic case narrative describing a reported cybercrime incident. The record contains source-derived details for graph correlation and requires verification.,2025-07-03,10:56:35,L00860,High,Vehicle-based movement,Closed,DOC01247,0.75,2024-05-18 03:13:40,2025-02-08 06:56:55
CR00039,C00755,Extortion,Financial,Synthetic case narrative describing a reported extortion incident. The record contains source-derived details for graph correlation and requires verification.,2025-10-17,03:01:45,L01181,Medium,Coordinated calls,Confirmed,DOC01461,0.83,2025-04-12 02:53:29,2025-11-04 04:33:36
CR00040,C00444,Robbery,Financial,Synthetic case narrative describing a reported robbery incident. The record contains source-derived details for graph correlation and requires verification.,2025-10-02,10:07:06,L00498,Low,Layered transactions,Confirmed,DOC00778,0.84,2025-05-19 01:45:43,2025-05-19 22:45:43
CR00041,C00698,Vehicle Theft,Financial,Synthetic case narrative describing a reported vehicle theft incident. The record contains source-derived details for graph correlation and requires verification.,2024-06-11,15:16:14,L01642,High,Coordinated calls,Closed,DOC00553,0.77,2025-02-26 21:38:46,2025-03-23 09:38:46
CR00042,C00760,Assault,Organized,Synthetic case narrative describing a reported assault incident. The record contains source-derived details for graph correlation and requires verification.,2025-12-08,03:11:07,L02007,Critical,Vehicle-based movement,Under Investigation,DOC00078,0.84,2026-07-17 23:19:41,2026-07-25 04:19:41
CR00043,C00852,Extortion,Financial,Synthetic case narrative describing a reported extortion incident. The record contains source-derived details for graph correlation and requires verification.,2025-04-24,03:57:05,L01912,Low,Layered transactions,Closed,DOC00866,0.96,2025-10-26 01:23:27,2026-02-14 17:46:15
CR00044,C00152,Money Laundering,Cyber,Synthetic case narrative describing a reported money laundering incident. The record contains source-derived details for graph correlation and requires verification.,2026-02-17,04:33:57,L01492,Critical,Vehicle-based movement,Confirmed,DOC02442,0.9,2026-01-29 20:01:09,2026-02-22 06:01:09
CR00045,C00170,Forgery,Violent,Synthetic case narrative describing a reported forgery incident. The record contains source-derived details for graph correlation and requires verification.,2025-12-29,07:18:26,L01790,High,Vehicle-based movement,Under Investigation,DOC02467,0.9,2026-06-09 20:35:29,2026-06-26 19:35:29
CR00046,C01172,Money Laundering,Cyber,Synthetic case narrative describing a reported money laundering incident. The record contains source-derived details for graph correlation and requires verification.,2025-04-18,13:56:56,L00381,Medium,False identity,Under Investigation,DOC00316,0.84,2024-06-15 00:23:46,2026-03-13 18:28:00
CR00047,C00703,Smuggling,Financial,Officiis nostrum impedit numquam dignissimos veritatis rerum modi facilis.,2026-04-01,05:51:06,L00464,Critical,False identity,Under Investigation,DOC00899,0.89,2024-12-24 14:42:45,2025-02-11 15:38:01
CR00048,C00233,Fraud,Cyber,Synthetic case narrative describing a reported fraud incident. The record contains source-derived details for graph correlation and requires verification.,2026-03-04,16:00:58,L01310,Low,Forged documents,Closed,DOC00230,0.78,2025-03-25 14:44:50,2025-04-09 21:44:50
CR00049,C01137,Burglary,Organized,Synthetic case narrative describing a reported burglary incident. The record contains source-derived details for graph correlation and requires verification.,2024-05-19,03:36:37,L02090,Critical,Online impersonation,Reported,DOC00701,0.85,2026-05-12 16:34:08,2026-06-01 03:34:08
CR00050,C00408,Assault,Organized,Synthetic case narrative describing a reported assault incident. The record contains source-derived details for graph correlation and requires verification.,2025-06-18,19:23:02,L02469,Low,Forged documents,Confirmed,DOC02248,0.89,2025-12-05 19:39:21,2025-12-09 14:39:21
CR00051,C00158,Robbery,Property,Ut tenetur reiciendis aliquam placeat eligendi nostrum distinctio incidunt natus repellendus nobis reprehenderit possimus eum.,2024-07-15,05:54:47,L02245,Medium,Vehicle-based movement,Confirmed,DOC02328,0.93,2024-08-21 06:23:59,2024-09-13 17:23:59
CR00052,C00406,Fraud,Property,Synthetic case narrative describing a reported fraud incident. The record contains source-derived details for graph correlation and requires verification.,2024-10-27,22:09:55,L00144,Medium,Online impersonation,Confirmed,DOC02489,0.87,2024-08-20 05:41:24,2025-02-01 17:24:24
CR00053,C00728,Fraud,Organized,Synthetic case narrative describing a reported fraud incident. The record contains source-derived details for graph correlation and requires verification.,2024-07-09,00:33:45,L01302,Low,Vehicle-based movement,Confirmed,DOC01156,0.88,2025-06-24 23:14:36,2025-07-12 06:14:36
CR00054,C00669,Forgery,Property,Synthetic case narrative describing a reported forgery incident. The record contains source-derived details for graph correlation and requires verification.,2025-01-13,15:47:57,L01275,Critical,Forged documents,Reported,DOC00297,0.83,2026-01-12 00:43:45,2026-05-16 15:24:18
CR00055,C00031,Vehicle Theft,Property,Atque eos tempora veritatis tempora harum nisi nam odio accusamus possimus placeat rem maiores.,2025-10-20,01:47:52,L01965,Low,Coordinated calls,Confirmed,DOC02647,0.9,2024-07-15 06:57:24,2024-07-16 06:57:24
CR00056,C00805,Illegal Gambling,Cyber,Synthetic case narrative describing a reported illegal gambling incident. The record contains source-derived details for graph correlation and requires verification.,2026-01-04,23:05:14,L00911,Low,Online impersonation,Reported,DOC00032,0.82,2025-12-10 11:16:32,2026-02-17 21:45:01
CR00057,C00401,Forgery,Violent,Synthetic case narrative describing a reported forgery incident. The record contains source-derived details for graph correlation and requires verification.,2025-01-05,11:44:11,L00288,Medium,Vehicle-based movement,Confirmed,DOC01429,0.82,2024-07-08 07:06:39,2026-04-14 05:00:41
CR00058,C01164,Smuggling,Organized,Synthetic case narrative describing a reported smuggling incident. The record contains source-derived details for graph correlation and requires verification.,2026-04-08,04:15:38,L02165,High,Vehicle-based movement,Confirmed,DOC01799,0.95,2026-08-21 11:16:45,2026-08-26 00:16:45
CR00059,C00201,Money Laundering,Violent,Synthetic case narrative describing a reported money laundering incident. The record contains source-derived details for graph correlation and requires verification.,2025-10-17,11:01:09,L01426,High,Vehicle-based movement,Under Investigation,DOC02730,0.78,2024-02-29 22:34:21,2026-02-16 13:58:04
CR00060,C00112,Extortion,Violent,Synthetic case narrative describing a reported extortion incident. The record contains source-derived details for graph correlation and requires verification.,2025-02-10,18:58:31,L01367,High,Vehicle-based movement,Confirmed,DOC02732,0.88,2024-10-27 13:36:29,2024-11-06 17:36:29
CR00061,C00642,Vehicle Theft,Organized,Id aliquid ea accusamus occaecati ea nobis asperiores.,2024-11-22,10:02:07,L02130,Critical,Forged documents,Confirmed,DOC01050,0.83,2024-03-30 01:29:09,2024-04-24 22:29:09
CR00062,C00057,Vehicle Theft,Organized,Soluta ex beatae architecto laudantium sint delectus rerum quia.,2024-03-31,01:20:48,L01258,Critical,False identity,Closed,DOC01607,0.76,2026-08-18 02:39:31,2026-09-04 23:59:59
CR00063,C00229,Cybercrime,Cyber,Synthetic case narrative describing a reported cybercrime incident. The record contains source-derived details for graph correlation and requires verification.,2025-03-22,19:35:00,L02330,Medium,Layered transactions,Reported,DOC01465,0.79,2024-07-17 04:16:25,2025-02-17 05:06:20
CR00064,C00768,Vehicle Theft,Organized,Synthetic case narrative describing a reported vehicle theft incident. The record contains source-derived details for graph correlation and requires verification.,2024-12-20,10:46:16,L01179,Critical,False identity,Under Investigation,DOC01439,0.96,2025-02-03 21:25:47,2025-12-08 18:38:46
CR00065,C00017,Burglary,Violent,Commodi a saepe omnis aut excepturi possimus officia magnam fugit fugiat pariatur officia nisi.,2025-07-25,17:30:20,L02350,Low,Online impersonation,Reported,DOC01621,0.85,2026-07-23 10:01:47,2026-08-16 22:01:47
CR00066,C00258,Assault,Organized,Synthetic case narrative describing a reported assault incident. The record contains source-derived details for graph correlation and requires verification.,2024-10-05,13:28:23,L00333,High,Layered transactions,Under Investigation,DOC02025,0.95,2026-06-12 01:23:25,2026-06-20 02:23:25
CR00067,C01126,Vehicle Theft,Organized,Et sit explicabo sed totam fuga pariatur quidem pariatur repudiandae molestiae vel magnam soluta.,2026-02-08,21:17:18,L00630,Medium,False identity,Reported,DOC01940,0.77,2025-05-22 10:22:18,2025-12-26 08:08:40
CR00068,C01007,Cybercrime,Violent,Synthetic case narrative describing a reported cybercrime incident. The record contains source-derived details for graph correlation and requires verification.,2026-07-21,11:23:42,L00342,High,Online impersonation,Closed,DOC02851,0.96,2026-02-10 04:26:55,2026-07-03 16:16:17
CR00069,C00228,Forgery,Financial,Synthetic case narrative describing a reported forgery incident. The record contains source-derived details for graph correlation and requires verification.,2026-08-24,06:04:05,L00237,Critical,Coordinated calls,Closed,DOC01885,0.97,2025-06-04 00:50:12,2025-07-03 17:50:12
CR00070,C00385,Burglary,Property,Synthetic case narrative describing a reported burglary incident. The record contains source-derived details for graph correlation and requires verification.,2025-04-28,23:27:54,L00671,Critical,Online impersonation,Reported,DOC02569,0.77,2025-01-14 15:50:47,2025-01-17 13:50:47
CR00071,C00707,Money Laundering,Cyber,Synthetic case narrative describing a reported money laundering incident. The record contains source-derived details for graph correlation and requires verification.,2024-08-02,08:57:32,L00271,Medium,Online impersonation,Closed,DOC01024,0.84,2025-12-29 07:13:17,2026-01-27 14:13:17
CR00072,C00845,Vehicle Theft,Violent,Fugit eius laudantium rerum labore quia tempora fugit adipisci voluptatibus rem quod laboriosam.,2024-09-29,12:00:30,L01504,Critical,Layered transactions,Confirmed,DOC00459,0.94,2024-11-22 21:04:48,2025-10-08 02:34:56
CR00073,C00885,Robbery,Cyber,Error officiis assumenda vel enim necessitatibus quasi dignissimos possimus harum aliquid laboriosam perspiciatis nihil.,2024-04-21,10:04:24,L01567,Medium,Layered transactions,Confirmed,DOC02879,0.75,2026-05-29 06:00:08,2026-06-01 13:00:08
CR00074,C00055,Illegal Gambling,Property,Synthetic case narrative describing a reported illegal gambling incident. The record contains source-derived details for graph correlation and requires verification.,2024-04-13,11:56:01,L01563,Low,Layered transactions,Under Investigation,DOC00811,0.89,2025-08-31 00:23:04,2026-08-22 08:17:48
CR00075,C00989,Extortion,Property,Synthetic case narrative describing a reported extortion incident. The record contains source-derived details for graph correlation and requires verification.,2024-08-11,22:40:20,L01104,High,Online impersonation,Reported,DOC02794,0.82,2026-07-10 18:44:50,2026-08-03 17:44:50
CR00076,C00069,Vehicle Theft,Cyber,Corporis delectus iure rerum odit iure quis qui quo.,2025-02-26,20:49:22,L01936,Low,Coordinated calls,Under Investigation,DOC00978,0.94,2024-04-10 12:28:25,2024-04-30 00:28:25
CR00077,C01006,Money Laundering,Cyber,Modi soluta eveniet eos nulla cumque ipsa deleniti iure illo distinctio.,2024-01-13,13:08:23,L01334,Medium,Vehicle-based movement,Closed,DOC00534,0.85,2024-07-17 15:55:51,2024-07-18 22:55:51
CR00078,C00764,Assault,Cyber,Inventore minima repellat aliquam libero ullam eius sapiente aliquid ipsam in tempora iure sunt hic.,2025-06-17,11:59:30,L00948,High,Layered transactions,Under Investigation,DOC00218,0.94,2025-11-14 07:24:18,2025-12-13 14:24:18
CR00079,C00318,Vehicle Theft,Property,Accusamus maiores illo cum magni distinctio quibusdam veniam omnis tempora facere delectus laboriosam asperiores.,2024-05-15,23:08:27,L01638,High,Layered transactions,Under Investigation,DOC01849,0.76,2024-12-08 13:54:55,2025-06-07 12:03:32
CR00080,C00710,Illegal Gambling,Organized,Consectetur architecto id illum ut nam ea necessitatibus quo facere autem delectus.,2025-08-09,09:57:03,L02385,Medium,Layered transactions,Confirmed,DOC00537,0.92,2025-09-05 00:08:08,2025-09-30 14:08:08
CR00081,C01067,Vehicle Theft,Cyber,Synthetic case narrative describing a reported vehicle theft incident. The record contains source-derived details for graph correlation and requires verification.,2024-02-13,07:57:52,L02077,High,Forged documents,Reported,DOC00052,0.74,2025-07-07 04:45:32,2026-01-30 00:07:53
CR00082,C00680,Robbery,Cyber,Synthetic case narrative describing a reported robbery incident. The record contains source-derived details for graph correlation and requires verification.,2025-08-12,12:25:33,L00248,Critical,Forged documents,Under Investigation,DOC01542,0.76,2024-07-31 23:48:54,2024-11-06 03:24:39
CR00083,C00806,Vehicle Theft,Cyber,Synthetic case narrative describing a reported vehicle theft incident. The record contains source-derived details for graph correlation and requires verification.,2026-07-31,04:41:59,L00455,Low,Layered transactions,Reported,DOC02660,0.97,2026-02-18 19:31:36,2026-03-10 22:31:36
CR00084,C00197,Assault,Violent,Synthetic case narrative describing a reported assault incident. The record contains source-derived details for graph correlation and requires verification.,2026-04-28,03:05:12,L01255,Low,Coordinated calls,Reported,DOC02577,0.82,2025-04-21 14:05:48,2026-02-20 12:58:04
CR00085,C01200,Robbery,Organized,Eius excepturi minima harum sit non architecto sapiente maiores.,2024-11-11,16:46:21,L02072,High,False identity,Closed,DOC01436,0.75,2025-08-19 22:38:29,2025-08-20 00:38:29
CR00086,C00403,Forgery,Cyber,Quos sint voluptatem alias illo laboriosam cumque mollitia sapiente voluptate aut incidunt.,2024-01-14,19:17:05,L01595,Low,Online impersonation,Closed,DOC00843,0.93,2024-12-01 10:01:37,2024-12-17 16:01:37
CR00087,C00051,Illegal Gambling,Organized,Unde ex ad velit atque officia inventore nulla quidem molestias alias.,2024-06-21,03:35:58,L01352,Medium,Forged documents,Closed,DOC01384,0.83,2024-01-06 19:12:43,2026-01-26 07:20:11
CR00088,C01036,Extortion,Violent,Synthetic case narrative describing a reported extortion incident. The record contains source-derived details for graph correlation and requires verification.,2025-07-28,21:25:43,L02208,Critical,Online impersonation,Reported,DOC00540,0.87,2025-11-19 12:54:59,2025-12-07 00:54:59
CR00089,C00140,Fraud,Organized,Accusantium officia cupiditate ut fugit illo quidem itaque neque ut reprehenderit a cupiditate officia occaecati.,2024-04-27,12:49:01,L02087,Low,Online impersonation,Closed,DOC02425,0.85,2026-07-12 05:51:39,2026-08-03 11:51:39
CR00090,C00784,Money Laundering,Financial,Synthetic case narrative describing a reported money laundering incident. The record contains source-derived details for graph correlation and requires verification.,2024-06-30,20:34:55,L00634,Medium,Online impersonation,Under Investigation,DOC01285,0.74,2026-01-24 12:13:06,2026-02-09 18:13:06
CR00091,C00599,Fraud,Financial,Synthetic case narrative describing a reported fraud incident. The record contains source-derived details for graph correlation and requires verification.,2025-04-13,20:29:29,L00138,Critical,Layered transactions,Reported,DOC00351,0.87,2024-01-18 18:40:10,2025-10-08 15:02:31
CR00092,C01125,Assault,Cyber,Ipsam id error corporis labore ullam inventore provident dicta alias.,2025-12-04,18:42:53,L00332,Low,Layered transactions,Confirmed,DOC01620,0.88,2026-07-06 11:48:52,2026-08-27 00:16:25
CR00093,C01054,Illegal Gambling,Property,Animi totam et facere debitis molestias culpa architecto nulla amet autem delectus iure eligendi.,2025-03-22,18:31:37,L01219,Critical,False identity,Reported,DOC01976,0.78,2025-05-15 03:31:25,2025-05-29 01:31:25
CR00094,C00672,Robbery,Cyber,Synthetic case narrative describing a reported robbery incident. The record contains source-derived details for graph correlation and requires verification.,2024-04-13,20:10:46,L01628,Low,Vehicle-based movement,Reported,DOC01581,0.9,2024-05-19 00:47:12,2024-10-18 15:57:43
CR00095,C00703,Vehicle Theft,Financial,Synthetic case narrative describing a reported vehicle theft incident. The record contains source-derived details for graph correlation and requires verification.,2025-05-30,05:06:33,L01929,Low,Layered transactions,Closed,DOC00480,0.76,2025-01-09 11:55:34,2026-02-18 23:25:31
CR00096,C01097,Extortion,Property,Synthetic case narrative describing a reported extortion incident. The record contains source-derived details for graph correlation and requires verification.,2025-04-02,10:17:22,L00119,High,Vehicle-based movement,Closed,DOC01960,0.87,2026-08-02 01:54:27,2026-08-09 10:54:27
CR00097,C00019,Extortion,Cyber,Veniam cupiditate ducimus magnam placeat voluptates optio reprehenderit placeat.,2025-08-02,18:47:36,L00762,Medium,Forged documents,Reported,DOC01988,0.72,2024-07-30 05:54:12,2024-08-19 16:54:12
CR00098,C00924,Burglary,Property,Synthetic case narrative describing a reported burglary incident. The record contains source-derived details for graph correlation and requires verification.,2024-11-08,04:49:46,L01855,High,Vehicle-based movement,Reported,DOC02684,0.86,2025-03-27 19:18:24,2026-02-18 22:52:37
CR00099,C00841,Money Laundering,Violent,Synthetic case narrative describing a reported money laundering incident. The record contains source-derived details for graph correlation and requires verification.,2025-10-09,20:06:15,L01195,Low,Coordinated calls,Under Investigation,DOC00466,0.96,2025-12-12 04:46:20,2025-12-28 13:46:20
CR00100,C00292,Forgery,Property,Synthetic case narrative describing a reported forgery incident. The record contains source-derived details for graph correlation and requires verification.,2025-05-16,04:49:11,L02309,High,Online impersonation,Reported,DOC01027,0.82,2024-06-26 15:21:09,2024-07-03 12:21:09
CR00101,C01141,Fraud,Violent,Synthetic case narrative describing a reported fraud incident. The record contains source-derived details for graph correlation and requires verification.,2026-02-01,05:08:48,L00137,Medium,Layered transactions,Reported,DOC00463,0.77,2024-07-26 19:16:40,2024-08-03 13:16:40
CR00102,C00467,Fraud,Violent,Synthetic case narrative describing a reported fraud incident. The record contains source-derived details for graph correlation and requires verification.,2025-08-12,06:10:34,L00692,Medium,Vehicle-based movement,Closed,DOC02933,0.84,2024-09-05 13:28:25,2025-01-12 19:43:00
CR00103,C00957,Forgery,Organized,Esse accusantium officia aliquid quibusdam excepturi sunt non architecto ullam ad nobis repellat ipsa repellendus id consequuntur repellat ipsa.,2025-11-18,01:23:16,L00494,High,False identity,Reported,DOC00408,0.83,2025-01-30 13:07:06,2025-02-06 02:07:06
CR00104,C00043,Illegal Gambling,Organized,Sint eaque amet cumque nobis numquam optio provident totam cupiditate.,2025-06-19,11:21:10,L01102,High,Vehicle-based movement,Closed,DOC02077,0.86,2024-05-05 09:02:55,2024-05-22 00:34:54
CR00105,C00278,Burglary,Property,Synthetic case narrative describing a reported burglary incident. The record contains source-derived details for graph correlation and requires verification.,2024-12-01,23:28:53,L02053,Medium,Online impersonation,Confirmed,DOC01789,0.95,2026-02-06 12:49:34,2026-05-04 15:09:58
CR00106,C00060,Burglary,Property,Synthetic case narrative describing a reported burglary incident. The record contains source-derived details for graph correlation and requires verification.,2026-07-23,16:33:02,L00934,High,Vehicle-based movement,Reported,DOC02851,0.88,2025-08-13 19:05:15,2025-08-18 03:05:15
CR00107,C00788,Vehicle Theft,Organized,Quidem ipsa veniam occaecati consequatur consequuntur repellendus earum nihil ullam neque voluptate vero optio itaque.,2025-06-03,01:48:58,L01001,Medium,Layered transactions,Closed,DOC02647,0.94,2025-10-22 12:28:37,2025-11-21 07:28:37
